entity_type,precision,recall,f1,tp,fp,fn
AMOUNT,1.0,1.0,1.0,6,0,0
DATE,1.0,1.0,1.0,7,0,0
CARD_TYPE,1.0,1.0,1.0,4,0,0
BRANCH_NAME,1.0,1.0,1.0,6,0,0
ACCOUNT_ID,1.0,1.0,1.0,5,0,0
TRANSACTION_ID,1.0,1.0,1.0,3,0,0
PRODUCT_NAME,1.0,1.0,1.0,9,0,0
